! ***************************************************************************************************************************
! ***************************************************************************************************************************
! ***** METADATA OF PARAMETER ***********************************************************************************************
! ***************************************************************************************************************************
! ***************************************************************************************************************************
! NOTES:
! (1) lines starting with "!" are treated as comment lines -- there is no limit on the number of comment lines
! (2) the format definition defines the format of the file, which can be changed
! (3) the format definition must be the first non-comment line
! (4) the delimiters "| " must be present (format a2), as these are used to check the integrety of the file
! columns are:
! 1:  gamma or beta parameter name 
! 2:  default value 
! 3:  lwr boundary 
! 4:  upr boundary 
! 5:  associated beta parameter 
! 6:  type (soil, vege, route)
! 7:  vertically aggregate
! 8:  horizontally aggregate
! 9:  logical parameter value per layer? only soil parameter 
! ******************************************************************************************************************************************
! format of the descriptions that follow (must be in single quotes)
! ******************************************************************************************************************************************
'(a16,(1x,a1,1x),ES12.5,(1x,a1,1x),ES12.5,(1x,a1,1x),ES12.5,(1x,a1,1x),a7,(1x,a1,1x),a5,(1x,a1,1x),l1,(1x,a1,1x),a7,(1x,a1,1x),a7,(1x,a1,1x),l1)' 
! ******************************************************************************************************************************************
! gamma parameter meta data
! -----------------------
!ks transfer function
ks1gamma1        | -0.60000E+00 | -0.66000E+00 | -0.54000E+00 | ks      | soil  | F | na      | na      | F
ks1gamma2        |  0.01260E+00 |  0.01130E+00 |  0.01390E+00 | ks      | soil  | F | na      | na      | F
ks1gamma3        | -0.00640E+00 | -0.00580E+00 | -0.00700E+00 | ks      | soil  | F | na      | na      | F
ks2gamma1        |  5.40000E+01 |  4.86000E+01 |  5.94000E+01 | ks      | soil  | F | na      | na      | F
ks2gamma2        | -0.07000E+00 | -0.07700E+00 | -0.06300E+00 | ks      | soil  | F | na      | na      | F
ks2gamma3        | -0.16700E+00 | -0.80000E+00 | -0.40000E+00 | ks      | soil  | F | na      | na      | F
!pororsity transfer function
phi1gamma1       |  5.05000E+01 |  4.55000E+01 |  5.55000E+01 | phi     | soil  | F | na      | na      | F
phi1gamma2       | -0.14200E+00 | -0.80000E+00 | -0.40000E+00 | phi     | soil  | F | na      | na      | F
phi1gamma3       | -0.03700E+00 | -0.80000E+00 | -0.40000E+00 | phi     | soil  | F | na      | na      | F
phi2gamma1       |  0.76000E+00 | -0.80000E+00 | -0.40000E+00 | phi     | soil  | F | na      | na      | F
phi2gamma2       |  0.00090E+00 | -0.80000E+00 | -0.40000E+00 | phi     | soil  | F | na      | na      | F
phi2gamma3       | -0.26400E+00 | -0.80000E+00 | -0.40000E+00 | phi     | soil  | F | na      | na      | F
phi2gamma4       |  0.89000E+00 | -0.80000E+00 | -0.40000E+00 | phi     | soil  | F | na      | na      | F
phi2gamma5       | -0.00100E+00 | -0.80000E+00 | -0.40000E+00 | phi     | soil  | F | na      | na      | F
phi2gamma6       | -0.32400E+00 | -0.80000E+00 | -0.40000E+00 | phi     | soil  | F | na      | na      | F
!field capacity transfer function
fc1gamma1        |  1.00000E+00 |  0.80000E+00 |  1.20000E+00 | fc      | soil  | F | na      | na      | F
!wilting point transfer function
wp1gamma1        |  1.00000E+00 |  0.80000E+00 |  1.20000E+00 | wp      | soil  | F | na      | na      | F
!b transfer function
b1gamma1         |  3.10000E+00 | -0.80000E+00 | -0.40000E+00 | b       | soil  | F | na      | na      | F
b1gamma2         |  0.15700E+00 | -0.80000E+00 | -0.40000E+00 | b       | soil  | F | na      | na      | F
b1gamma3         | -0.00300E+00 | -0.80000E+00 | -0.40000E+00 | b       | soil  | F | na      | na      | F
!saturation matric potential transfer function
psis1gamma1      |  1.54000E+00 |  0.80000E+00 |  0.40000E+00 | psis    | soil  | F | na      | na      | F
psis1gamma2      | -0.00950E+00 | -0.80000E+00 | -0.40000E+00 | psis    | soil  | F | na      | na      | F
psis1gamma3      |  0.00630E+00 |  0.80000E+00 |  0.40000E+00 | psis    | soil  | F | na      | na      | F
!specific yield transfer function
myu1gamma1       |  3.50000E+00 |  3.85000E+00 |  3.15000E+00 | myu     | soil  | F | na      | na      | F
